# http://alluvian.simplenet.com/projects/sounds.zip
# This file is as of yet, incomplete.
# The sounds are numbered, both in hexadecimal format,
# As well as Decimal (I do not think any other format
# Will be needed anytime soon) The descriptions are
# The best ones I have done at the time, once I have
# Finished adding all the sounds, I will go back through
# Them again, and improve or change them :p
# Feel free to remove this commentary to make the file
# Easier to search through
#
  Hex     Decimal     Description
------- ----------- ---------------
00 00   0           Multiple birds chirping
00 01   1           Multiple birds chirping, slightly longer
00 02   2           Multiple birds chirping, one slightly dominant
00 03   3           Birds/Owls at night
00 04   4           Crickets/Birds at night, wind sounds
00 05   5           Loud crickets, some birds in background
00 06   6           Muted selection of birds/crickets/owls at night with wind
00 07   7           Bird mating call (warble)
00 08   8           Loud owl/crickets at night
00 09   9           Loud crickets, owl mating call at night
00 0A   10          Very loud crickets, muted background hum (water?)
00 0B   11          Crickets with background sound of running water (river)
00 0C   12          General frog noises, one bird in background
00 0D   13          Slightly longer frog noises, another bird in background
00 0E   14          Loud crickets, mating chirps
00 0F   15          Subdued crickets
00 10   16          Fast-moving water, river possibly over rocks
00 11   17          Fast-moving stream, shallow
00 12   18          A boat, or something being dragged or wading through deep water
00 13   19          A boat moving through water, sails/rigging creaking in the wind
00 14   20          Wind on a high mountain peak/cliff or in the desert at night
00 15   21          Strong wind (long) prelude to a storm
00 16   22          Strong wind, sounds of light rain, or blizzard
00 17   23          Frog or Cricket chirping 4 times
00 18   24          Single bird 'singing' a few short notes
00 19   25          Bird call at night (cut off at end, possibly meant to loop)
00 1A   26          Solitary bird call (could be used for fleeing bird)
00 1B   27          Two single bird chirps (high-pich)
00 1C   28          One bird chattering at another
00 1D   29          Single two-note bird chirp
00 1E   30          Two mid-range bird cries
00 1F   31          Cry of a solitary bird (seeking others, or warning something off)
00 20   32          Bubbling water (natural spring, or something similar)
00 21   33          Bubbiling mud, lava, or thick stew
00 22   34          Single large drop of water, into water
00 23   35          Water dripping onto stone
00 24   36          Two drips o water into something (alchemy sound perhaps, or wet cave)
00 25   37          Sound of someone pouring (bucket?) of water, into some other container of water
00 26   38          Large amount (semi-loud) sound of water being dumped into water
00 27   39          Rock (or some small object) being tossed into water (or fishing sound of failure?)
00 28   40          Thunder (deep bass notes, trailes off)
00 29   41          Longer peal of thunder, trails off
00 2A   42          Clang of metal pot (or metal hammer)
00 2B   43          Forge being stoked (bellows) or fire being snuffed out
00 2C   44          Wooden door closing (behind you as you walk through)
00 2D   45          Wooden door opening (infront of you, to walk through)
00 2E   46          Metal door closing with a click
00 2F   47          Metal door opening
00 30   48          Slurping sounds (stew or something thick)
00 31   49          Something thick being drunk, sigh of relief
00 32   50          Several small coins (or dice) hitting a table or stone floor
00 33   51          Coins being dropped into chest (echoing)
00 34   52          Single coing hitting (table?) spinning, falling over
00 35   53          Smaler coin hitting (table?) spinning, falling over
00 36   54          Several coins being dropped/poured onto (table?)
